1,-101.0892697
2,-109.0892697
3,-98.08926966
4,-83.58926966
5,-102.0892697
6,-103.0892697
7,-130.0892697
8,-151.0892697
9,-146.5892697
10,-160.5892697
11,-145.5892697
12,-150.5892697
13,-145.0892697
14,-138.0892697
15,-120.5892697
16,-120.5892697
17,-129.0892697
18,-152.0892697
19,-149.0892697
20,-203.5892697
21,-217.0892697
22,-234.0892697
23,-228.0892697
24,-240.0892697
25,-233.5892697
26,-215.5892697
27,-196.0892697
28,-197.0892697
29,-204.5892697
30,-173.5892697
31,-160.5892697
32,-166.0892697
33,-160.0892697
34,-143.5892697
35,-134.5892697
36,-118.5892697
37,-109.0892697
38,-84.58926966
39,-54.58926966
40,-79.58926966
41,-105.0892697
42,-60.08926966
43,-63.08926966
44,-107.5892697
45,-26.58926966
46,-19
47,-15
48,-8
49,5
50,8
51,18
52,28
53,31.41073034
54,41.41073034
55,21.41073034
56,-8.589269663
57,21.41073034
58,44.41073034
59,42.41073034
60,77.41073034
61,107.4107303
62,127.4107303
63,142.4107303
64,137.4107303
65,127.4107303
66,161.4107303
67,156.4107303
68,141.4107303
69,146.4107303
70,156.4107303
71,181.4107303
72,211.4107303
73,226.4107303
74,256.4107303
75,251.4107303
76,280.4057303
77,270.4107303
78,217.4107303
79,196.4107303
80,157.4107303
81,127.4107303
82,109.4107303
83,97.96073034
84,118.0607303
85,156.2607303
86,158.4107303
87,173.0607303
88,165.8607303
89,168.9107303
90,164.3107303
91,154.6107303
92,146.1107303
93,123.5607303
94,174.4107303
95,208.5607303
96,182.1107303
