Observed and simulated streamflows (m^3/s)
Station,,,,05MK010 ,
Longitude,,,,-104.500,
Latitude,,,,  53.971,
Xcoord_grid,,,,       4,
Ycoord_grid,,,,       2,
YEAR,MONTH,DAY,HOUR,OBS,SIM
 2004,    6,    6,   10,     0.100,     0.167,
 2004,    6,    6,   11,     0.100,     0.168,
 2004,    6,    6,   12,     0.100,     0.170,
 2004,    6,    6,   13,     0.100,     0.172,
 2004,    6,    6,   14,     0.100,     0.173,
 2004,    6,    6,   15,     0.100,     0.175,
 2004,    6,    6,   16,     0.100,     0.177,
 2004,    6,    6,   17,     0.100,     0.178,
 2004,    6,    6,   18,     0.100,     0.180,
 2004,    6,    6,   19,     0.100,     0.182,
 2004,    6,    6,   20,     0.100,     0.183,
 2004,    6,    6,   21,     0.100,     0.185,
 2004,    6,    6,   22,     0.100,     0.188,
 2004,    6,    6,   23,     0.100,     0.192,
 2004,    6,    6,   24,     0.100,     0.198,
 2004,    6,    7,    1,     0.100,     0.206,
 2004,    6,    7,    2,     0.100,     0.216,
 2004,    6,    7,    3,     0.100,     0.228,
 2004,    6,    7,    4,     0.100,     0.247,
 2004,    6,    7,    5,     0.100,     0.271,
 2004,    6,    7,    6,     0.100,     0.296,
 2004,    6,    7,    7,     0.100,     0.321,
 2004,    6,    7,    8,     0.100,     0.345,
 2004,    6,    7,    9,     0.100,     0.368,
 2004,    6,    7,   10,     0.100,     0.390,
 2004,    6,    7,   11,     0.100,     0.413,
 2004,    6,    7,   12,     0.100,     0.435,
 2004,    6,    7,   13,     0.100,     0.458,
 2004,    6,    7,   14,     0.100,     0.481,
 2004,    6,    7,   15,     0.100,     0.505,
 2004,    6,    7,   16,     0.100,     0.529,
 2004,    6,    7,   17,     0.100,     0.553,
 2004,    6,    7,   18,     0.100,     0.577,
 2004,    6,    7,   19,     0.100,     0.601,
 2004,    6,    7,   20,     0.100,     0.626,
 2004,    6,    7,   21,     0.100,     0.650,
 2004,    6,    7,   22,     0.100,     0.675,
 2004,    6,    7,   23,     0.100,     0.700,
 2004,    6,    7,   24,     0.100,     0.724,
 2004,    6,    8,    1,     0.100,     0.749,
 2004,    6,    8,    2,     0.100,     0.774,
 2004,    6,    8,    3,     0.100,     0.798,
 2004,    6,    8,    4,     0.100,     0.823,
 2004,    6,    8,    5,     0.100,     0.847,
 2004,    6,    8,    6,     0.100,     0.871,
 2004,    6,    8,    7,     0.100,     0.896,
 2004,    6,    8,    8,     0.100,     0.919,
 2004,    6,    8,    9,     0.100,     0.943,
 2004,    6,    8,   10,     0.100,     0.967,
 2004,    6,    8,   11,     0.100,     0.990,
 2004,    6,    8,   12,     0.100,     1.013,
 2004,    6,    8,   13,     0.100,     1.036,
 2004,    6,    8,   14,     0.100,     1.059,
 2004,    6,    8,   15,     0.100,     1.081,
 2004,    6,    8,   16,     0.100,     1.104,
 2004,    6,    8,   17,     0.100,     1.126,
 2004,    6,    8,   18,     0.100,     1.148,
 2004,    6,    8,   19,     0.100,     1.169,
 2004,    6,    8,   20,     0.100,     1.191,
 2004,    6,    8,   21,     0.100,     1.212,
 2004,    6,    8,   22,     0.100,     1.232,
 2004,    6,    8,   23,     0.100,     1.252,
 2004,    6,    8,   24,     0.100,     1.272,
 2004,    6,    9,    1,     0.100,     1.292,
 2004,    6,    9,    2,     0.100,     1.311,
 2004,    6,    9,    3,     0.100,     1.330,
 2004,    6,    9,    4,     0.100,     1.348,
 2004,    6,    9,    5,     0.100,     1.366,
 2004,    6,    9,    6,     0.100,     1.383,
 2004,    6,    9,    7,     0.100,     1.401,
 2004,    6,    9,    8,     0.100,     1.417,
 2004,    6,    9,    9,     0.100,     1.434,
 2004,    6,    9,   10,     0.100,     1.449,
 2004,    6,    9,   11,     0.100,     1.465,
 2004,    6,    9,   12,     0.100,     1.480,
 2004,    6,    9,   13,     0.100,     1.494,
 2004,    6,    9,   14,     0.100,     1.508,
 2004,    6,    9,   15,     0.100,     1.521,
 2004,    6,    9,   16,     0.100,     1.534,
 2004,    6,    9,   17,     0.100,     1.547,
 2004,    6,    9,   18,     0.100,     1.559,
 2004,    6,    9,   19,     0.100,     1.570,
 2004,    6,    9,   20,     0.100,     1.581,
 2004,    6,    9,   21,     0.100,     1.591,
 2004,    6,    9,   22,     0.100,     1.601,
 2004,    6,    9,   23,     0.100,     1.611,
 2004,    6,    9,   24,     0.100,     1.620,
 2004,    6,   10,    1,     0.100,     1.629,
 2004,    6,   10,    2,     0.100,     1.637,
 2004,    6,   10,    3,     0.100,     1.645,
 2004,    6,   10,    4,     0.100,     1.652,
 2004,    6,   10,    5,     0.100,     1.660,
 2004,    6,   10,    6,     0.100,     1.666,
 2004,    6,   10,    7,     0.100,     1.672,
 2004,    6,   10,    8,     0.100,     1.678,
 2004,    6,   10,    9,     0.100,     1.684,
 2004,    6,   10,   10,     0.100,     1.689,
 2004,    6,   10,   11,     0.100,     1.694,
 2004,    6,   10,   12,     0.100,     1.698,
 2004,    6,   10,   13,     0.100,     1.702,
 2004,    6,   10,   14,     0.100,     1.706,
 2004,    6,   10,   15,     0.100,     1.708,
 2004,    6,   10,   16,     0.100,     1.711,
 2004,    6,   10,   17,     0.100,     1.714,
 2004,    6,   10,   18,     0.100,     1.716,
 2004,    6,   10,   19,     0.100,     1.718,
 2004,    6,   10,   20,     0.100,     1.719,
 2004,    6,   10,   21,     0.100,     1.721,
 2004,    6,   10,   22,     0.100,     1.726,
 2004,    6,   10,   23,     0.100,     1.730,
 2004,    6,   10,   24,     0.100,     1.736,
 2004,    6,   11,    1,     0.100,     1.741,
 2004,    6,   11,    2,     0.100,     1.747,
 2004,    6,   11,    3,     0.100,     1.753,
 2004,    6,   11,    4,     0.100,     1.762,
 2004,    6,   11,    5,     0.100,     1.774,
 2004,    6,   11,    6,     0.100,     1.787,
 2004,    6,   11,    7,     0.100,     1.802,
 2004,    6,   11,    8,     0.100,     1.816,
 2004,    6,   11,    9,     0.100,     1.831,
 2004,    6,   11,   10,     0.100,     1.847,
 2004,    6,   11,   11,     0.100,     1.863,
 2004,    6,   11,   12,     0.100,     1.881,
 2004,    6,   11,   13,     0.100,     1.900,
 2004,    6,   11,   14,     0.100,     1.921,
 2004,    6,   11,   15,     0.100,     1.947,
 2004,    6,   11,   16,     0.100,     1.999,
 2004,    6,   11,   17,     0.100,     2.084,
 2004,    6,   11,   18,     0.100,     2.170,
 2004,    6,   11,   19,     0.100,     2.240,
 2004,    6,   11,   20,     0.100,     2.300,
 2004,    6,   11,   21,     0.100,     2.357,
 2004,    6,   11,   22,     0.100,     2.414,
 2004,    6,   11,   23,     0.100,     2.471,
 2004,    6,   11,   24,     0.100,     2.528,
 2004,    6,   12,    1,     0.100,     2.585,
 2004,    6,   12,    2,     0.100,     2.641,
 2004,    6,   12,    3,     0.100,     2.697,
 2004,    6,   12,    4,     0.100,     2.753,
 2004,    6,   12,    5,     0.100,     2.809,
 2004,    6,   12,    6,     0.100,     2.865,
 2004,    6,   12,    7,     0.100,     2.921,
 2004,    6,   12,    8,     0.100,     2.977,
 2004,    6,   12,    9,     0.100,     3.032,
 2004,    6,   12,   10,     0.100,     3.087,
 2004,    6,   12,   11,     0.100,     3.141,
 2004,    6,   12,   12,     0.100,     3.195,
 2004,    6,   12,   13,     0.100,     3.248,
 2004,    6,   12,   14,     0.100,     3.300,
 2004,    6,   12,   15,     0.100,     3.350,
 2004,    6,   12,   16,     0.100,     3.399,
 2004,    6,   12,   17,     0.100,     3.446,
 2004,    6,   12,   18,     0.100,     3.492,
 2004,    6,   12,   19,     0.100,     3.536,
 2004,    6,   12,   20,     0.100,     3.579,
 2004,    6,   12,   21,     0.100,     3.620,
 2004,    6,   12,   22,     0.100,     3.659,
 2004,    6,   12,   23,     0.100,     3.697,
 2004,    6,   12,   24,     0.100,     3.733,
 2004,    6,   13,    1,     0.100,     3.767,
